# CNS11643 中的笔顺表
# 原始数据为 http://www.cns11643.gov.tw/AIDB/Open_Data.zip
㒠	322135454211121111
㒡	3235443112523554534
㒢	3234125125125125122
㒣	3241332324111214544
㒤	32122111122111122111
㒥	32211121112521251431
㒦	32251212512125121121
㒧	324134522521432411121
㒨	3232512513211511134515
㒩	32551353334251214251214
㒪	3412512512512521211353334
㒫	121135
㒬	25111212341252
㒭	2513525135
㒮	11351353334
㒯	243135211212112112
㒰	34121
㒱	34354
㒲	342511
㒳	2523434
㒴	3425252
㒵	3251134
㒶	3432511
㒷	2534134
㒸	431353334
㒹	12251111341225111134
㒺	25431345
㒻	25112511135
㒼	12212523434
㒽	251143113455
㒾	2511415331525
㒿	25114134522521432411121
㓀	4524
㓁	4535
㓂	451135531
㓃	454111251315
㓄	545454343334535
㓅	4415
㓆	443435
㓇	443134
㓈	4413251
㓉	44112251
㓊	44251251
㓋	44122134
㓌	44341121
㓍	44415435
㓎	445114554
㓏	442535251
㓐	4412135121
㓑	4412143112
㓒	4415345444
㓓	44122543112
㓔	443251113154
㓕	441314334543
㓖	4425121122112
㓗	44111253554534
㓘	35135441121
㓙	413452
㓚	12125
㓛	12153
㓜	55453
㓝	113225
㓞	311253
㓟	3525425
㓠	2125125
㓡	31125225
㓢	35425125
㓣	34125125
㓤	12125125
㓥	24351125
㓦	13251125
㓧	341525125
㓨	134343425
㓩	353512125
㓪	451153453
㓫	134113225
㓬	4311345325
㓭	25113534525
㓮	3512125125
㓯	5552512125
㓰	1251215225
㓱	34135112525
㓲	33512512225
㓳	25111213425
㓴	13252213425
㓵	25125111525
㓶	11125313425
㓷	325111123425
㓸	1521551512125
㓹	134334433425
㓺	215315413425
㓻	252211212125
㓼	1234345443425
㓽	2524451123425
㓾	51324434311225
㓿	3123434553425
㔀	25114125153425
㔁	54334125143125
㔂	43123435415225
㔃	55444453521553
㔄	12522143153425
㔅	51123552151225
㔆	15351535251125
㔇	54334515355425
㔈	1223111211125
㔉	51332512521425
㔊	412525112511125
㔋	1251253112522125
㔌	1221115432343425
㔍	3143142511113225
㔎	523325151414311253
㔏	13251132511325125
㔐	314314121112111125
㔑	2112325151414311253
㔒	25232411121253525125
㔓	31253
㔔	532515
㔕	311553
㔖	532515
㔗	5153253
㔘	2525253
㔙	43113253
㔚	31225153
㔛	12125153
㔜	344355153
㔝	1252343453
㔞	3122111553
㔟	3112135453
㔠	25113534553
㔡	325341151553
㔢	55444435521553
㔣	25121251212512153
㔤	44534312342512153
㔥	25221543544151553
㔦	43112134151153453
㔧	215315251212522153
㔨	35211153544
㔩	351215425221
㔪	3521253444441
㔫	1335
㔬	15251112
㔭	15251112134
㔮	122125111345435441515
㔯	1342515
㔰	1354245
㔱	1321511345
㔲	134151154355
㔳	1341251111355
㔴	1251211221345
㔵	15155151221345
㔶	14143125111235412125111345
㔷	1125345
㔸	133215315355
㔹	1253
㔺	121512
㔻	132412
㔼	1513241112112
㔽	21252511
㔾	55
㔿	152
㕀	2512155
㕁	34135452
㕂	133415
㕃	131132
㕄	131554
㕅	1325112
㕆	1312251
㕇	1341431
㕈	13413534
㕉	13341251
㕊	131351124
㕋	1334112431
㕌	1325111154
㕍	1332411121
㕎	131215425221
㕏	1312514314412
㕐	133211511354444
㕑	13121251431154
㕒	134311213151543
㕓	13254311214444121
㕔	131221113121122522114544
㕕	5454
㕖	5454541234
㕗	43112135454
㕘	54545434534
㕙	543535435251354
㕚	5444
㕛	5454
㕜	251254
㕝	1225154
㕞	51325254
㕟	212512254
㕠	443241112154
㕡	21451343425154
㕢	21451251113454
㕣	34251
㕤	25135
㕥	25134
㕦	251134
㕧	251513
㕨	251354
㕩	2513112
㕪	2514535
㕫	2514153
㕬	2513454
㕭	2513134
㕮	2513434
㕯	2534251
㕰	2513115
㕱	2511354
㕲	2511234
㕳	2513452
㕴	2514535
㕵	25111212341252
